Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,
267,North Carolina Central,MEAC,1-3,-8.59,94.6,103.2,69.3,,,,,
243,North Dakota,Sum,1-5,-6.86,97,103.8,68.7,,,,,
170,North Dakota St.,Sum,2-5,-1.17,97.5,98.6,65.9,,,,,
299,North Florida,ASun,1-7,-10.72,99,109.7,70,,,,,
106,North Texas,CUSA,2-3,6.44,102.4,96,67.8,,,,,
161,Northeastern,CAA,1-2,-0.47,99.5,100,70.6,,,,,
334,Northern Arizona,BSky,0-3,-15.13,93.1,108.3,69.2,,,,,
194,Northern Colorado,BSky,3-1,-3.31,98.8,102.1,71.3,,,,,
296,Northern Illinois,MAC,0-5,-10.58,93.9,104.5,67.1,,,,,
87,Northern Iowa,MVC,1-4,8.75,106,97.3,71.3,,,,,
203,Northern Kentucky,Horz,2-3,-3.7,99.2,102.9,70,,,,,
68,Northwestern,B10,3-1,12.12,104.9,92.8,72.5,,,,,
279,Northwestern St.,Slnd,1-5,-9.35,96.7,106,75.4,,,,,
76,Notre Dame,ACC,2-3,10,108.6,98.6,68.6,,,,,
288,Oakland,Horz,0-7,-9.98,96.8,106.7,72.1,,,,,
109,Ohio,MAC,4-2,5.98,103.3,97.3,71.5,,,,,
23,Ohio St.,B10,5-1,19.62,110.9,91.2,68.1,,,,,
39,Oklahoma,B12,4-1,17.34,111.5,94.2,72,,,,,
48,Oklahoma St.,B12,6-1,15.99,106.4,90.4,74.1,,,,,
115,Old Dominion,CUSA,2-2,5.34,102.6,97.3,70.4,,,,,
188,Oral Roberts,Sum,3-4,-2.42,103,105.4,72.3,,,,,
25,Oregon,P12,4-1,19.55,110.9,91.4,70.5,,,,,
130,Oregon St.,P12,3-3,3.69,102.7,99,68.7,,,,,
133,Pacific,WCC,2-1,2.8,99.7,96.9,67.4,,,,,
193,Penn,Ivy,0-0,-3.26,98.7,101.9,71.9,,,,,
45,Penn St.,B10,3-2,16.21,108.8,92.6,70.9,,,,,
103,Pepperdine,WCC,4-3,6.68,105.8,99.1,72.3,,,,,
74,Pittsburgh,ACC,5-1,10.89,103,92.1,72.4,,,,,
263,Portland,WCC,5-1,-8.36,94.6,102.9,73.5,,,,,
305,Portland St.,BSky,1-2,-11.08,96.3,107.4,74.7,,,,,
