Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
168,Wyoming,MWC,5-1,-1.13,101.2,102.4,70.5
169,North Dakota St.,Sum,2-5,-1.15,97.4,98.5,66
170,Missouri St.,MVC,0-0,-1.2,100,101.2,70.7
171,Eastern Michigan,MAC,1-2,-1.23,98.9,100.1,70.2
172,Chattanooga,SC,6-0,-1.34,99.6,100.9,71
173,Coastal Carolina,SB,4-0,-1.37,100.7,102.1,74.5
174,East Tennessee St.,SC,1-3,-1.42,94.9,96.3,70.6
175,UTSA,CUSA,2-2,-1.45,102.5,104,73.6
176,Northeastern,CAA,1-1,-1.6,99.8,101.4,71.5
177,Youngstown St.,Horz,3-0,-1.75,101.4,103.1,69.8
178,Southern Illinois,MVC,3-0,-1.8,98,99.8,69.4
179,Southern Utah,BSky,4-1,-1.82,100,101.8,71.3
180,Boston University,Pat,0-0,-1.82,99.4,101.2,70.2
181,Navy,Pat,3-1,-1.91,99.8,101.7,67
182,Eastern Illinois,OVC,3-4,-1.93,101,102.9,70.1
183,UMBC,AE,4-1,-1.98,98,100,71.3
184,Fordham,A10,0-0,-2.12,92.1,94.2,68.6
185,Appalachian St.,SB,4-1,-2.28,97.8,100,70
186,Miami OH,MAC,3-1,-2.4,97.6,100,69
187,UTEP,CUSA,2-2,-2.44,96.3,98.7,69.8
