Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
134,Oregon St.,P12,4-3,3.11,102.8,99.7,67.3,,,,,,,
135,Pacific,WCC,3-1,2.6,100.4,97.8,66.7,,,,,,,
195,Penn,Ivy,0-0,-3.26,99.3,102.6,71.5,,,,,,,
44,Penn St.,B10,3-2,16.21,109.4,93.2,70.4,,,,,,,
114,Pepperdine,WCC,4-4,5.44,105.5,100.1,72,,,,,,,
77,Pittsburgh,ACC,5-2,10.32,102.9,92.6,71.8,,,,,,,
266,Portland,WCC,6-2,-8.74,93.6,102.4,73.4,,,,,,,
310,Portland St.,BSky,2-4,-12.23,95.7,107.9,74.6,,,,,,,
313,Prairie View A&M,SWAC,1-3,-12.7,92.4,105.1,70.1,,,,,,,
345,Presbyterian,BSth,2-2,-19.67,91.1,110.8,69.7,,,,,,,
144,Princeton,Ivy,0-0,1.9,103.1,101.2,68.9,,,,,,,
59,Providence,BE,5-2,13.32,109.1,95.8,67.5,,,,,,,
33,Purdue,B10,6-3,17.82,109.9,92,68,,,,,,,
235,Purdue Fort Wayne,Horz,1-2,-6.19,96.8,102.9,70.7,,,,,,,
267,Quinnipiac,MAAC,2-2,-8.79,94.6,103.4,70.1,,,,,,,
294,Radford,BSth,3-5,-10.82,93.1,103.9,65.1,,,,,,,
78,Rhode Island,A10,3-5,10.18,105.2,95,71.3,,,,,,,
257,Rice,CUSA,6-2,-7.76,96,103.8,70.7,,,,,,,
58,Richmond,A10,6-2,13.62,109.7,96,71.9,,,,,,,
293,Rider,MAAC,1-5,-10.76,96.4,107.2,69.4,,,,,,,
252,Robert Morris,Horz,1-2,-7.56,95.4,103,69.7,,,,,,,
18,Rutgers,B10,6-0,20.65,110.2,89.6,70.8,,,,,,,
209,Sacramento St.,BSky,3-0,-4.4,96.9,101.3,67,,,,,,,
331,Sacred Heart,NEC,2-3,-14.77,94.2,108.9,70.5,,,,,,,
166,Saint Joseph's,A10,0-5,-0.92,103.6,104.5,76.3,,,,,,,
32,Saint Louis,A10,6-1,18.18,110.3,92.1,70.2,,,,,,,
68,Saint Mary's,WCC,8-2,11.65,105.8,94.1,64.2,,,,,,,
160,Saint Peter's,MAAC,5-3,0.04,96.9,96.9,69.9,,,,,,,
271,Sam Houston St.,Slnd,5-5,-9.04,95.4,104.5,74.8,,,,,,,
273,Samford,SC,4-3,-9.16,97.2,106.4,75.2,,,,,,,
190,San Diego,WCC,1-3,-2.92,97.4,100.3,71.5,,,,,,,
25,San Diego St.,MWC,6-1,19.12,109.4,90.2,66.8,,,,,,,
71,San Francisco,WCC,6-4,11.11,107.1,96,71,,,,,,,
300,San Jose St.,MWC,1-3,-11,96.2,107.2,75.7,,,,,,,
127,Santa Clara,WCC,6-1,3.8,97.4,93.6,70.9,,,,,,,
283,Seattle,WAC,5-5,-10.11,94.8,104.9,69.2,,,,,,,
51,Seton Hall,BE,5-4,15.62,109.9,94.3,69.4,,,,,,,
141,Siena,MAAC,0-0,2.11,101.8,99.7,69.5,,,,,,,
322,SIU Edwardsville,OVC,3-4,-13.54,92.2,105.7,71.3,,,,,,,
46,SMU,Amer,5-0,16.16,110,93.8,70.5,,,,,,,
223,South Alabama,SB,6-3,-5.26,102,107.3,69,,,,,,,
64,South Carolina,SEC,1-2,12.34,105.9,93.5,73.1,,,,,,,
355,South Carolina St.,MEAC,0-10,-28.04,83.9,111.9,73.1,,,,,,,
217,South Dakota,Sum,2-6,-5.03,99.9,104.9,69.8,,,,,,,
97,South Dakota St.,Sum,5-3,7.71,109.1,101.4,72.4,,,,,,,
107,South Florida,Amer,5-3,6.45,101.2,94.7,69.9,,,,,,,
325,Southeast Missouri St.,OVC,2-5,-13.77,94.5,108.3,69.4,,,,,,,
328,Southeastern Louisiana,Slnd,1-6,-14.47,92.3,106.7,71.1,,,,,,,
284,Southern,SWAC,0-4,-10.21,94.3,104.5,71,,,,,,,
154,Southern Illinois,MVC,6-0,1.01,100.5,99.5,69.6,,,,,,,
286,Southern Miss,CUSA,3-3,-10.37,92.6,103,67.7,,,,,,,
177,Southern Utah,BSky,7-1,-1.62,101.6,103.2,71,,,,,,,
72,St. Bonaventure,A10,2-0,11.1,107.4,96.3,71.3,,,,,,,
311,St. Francis NY,NEC,2-2,-12.41,94.9,107.3,73.3,,,,,,,
260,St. Francis PA,NEC,1-4,-8.05,99.2,107.3,70.4,,,,,,,
